Size_sqft,Price_CAD
2443,1075204.7036437234
1587,815438.6952531285
1628,748529.2218413171
1462,703611.5519652098
540,461701.5676933393
1486,734865.8799618327
1530,772871.6436589862
2731,1285903.3865344378
1403,735984.0943986302
1650,817520.9452571789
1482,761048.0501233112
915,636170.7792619137
2071,975519.0601483207
1875,910054.9523357484
1895,960532.7198003806
1045,623276.2966478992
2201,1089751.515278019
799,501536.5111014592
1793,810049.7543634758
2595,1269671.5766150549
1004,494282.7303490656
1216,651531.7732619516
1549,731886.2074990321
1248,645993.0826703503
724,456038.12051517406
1534,779667.8607725137
968,558296.0377117642
1736,925085.5634529324
1040,588676.715075699
2274,1047392.1682354675
1108,641404.3584144178
1338,744673.524446232
1906,851019.6092431503
884,533470.003492493
1613,830258.6371155449
2153,996321.8248320004
696,497185.340665581
1592,779297.2206483736
1629,807878.8226735771
1890,897346.4087858065
881,503178.95237907337
839,430786.2456552399
1760,781997.4558702853
1648,888925.2531612486
1625,757651.9325840836
1673,769630.3825271847
1159,505930.49431981426
1616,764451.9126155248
1646,742245.5103296251
1142,688900.7580068185
2432,1173290.8544671317
1736,809992.4827411138
904,624221.7902672155
1828,930288.2743495797
1012,538558.4308245688
1893,782229.7142563213
2079,1096147.128629537
1089,516121.3766618202
1981,860130.0626521554
1706,883528.521600482
1911,1036387.6203169636
2448,1198413.640925526
1377,728995.456002618
1123,628937.7170832643
1055,614670.7779390154
1092,624746.4294893383
1461,748459.5711984688
1670,823210.0551975938
1638,802070.3436050239
1913,877501.7705566662
1506,738366.2461566613
2226,955752.1592902307
1367,691883.0186602625
2860,1244570.4446424542
1812,819620.5341392114
1071,587394.7075576739
964,605200.11431723
1741,892315.8303001156
1388,626674.9698188411
1857,843318.5931714831
1736,891438.5593994108
1463,686075.6303230845
1076,569168.3425001488
742,474302.6049512276
1276,611982.7772568183
1928,926468.7753072979
1607,726098.7252540898
877,470731.6178024393
1586,800389.0967071268
1692,747150.3133234165
1058,595223.7368980199
1576,779418.1100536659
1529,789224.4977208574
928,532395.7067032331
1678,889407.0214986922
1780,868261.2251323954
2041,944929.7229437374
2026,966514.8751516142
811,501564.9014518194
1031,564843.0035162852
1757,854829.5845601942
1756,817300.4156096622
1757,819654.9541224525
3426,1450269.7364100153
1785,951478.837159347
2067,914606.8382304357
1977,906154.7401102047
1825,844079.6367215401
1342,731546.218847222
1879,886852.5160853986
1113,657587.1036336867
1381,668725.4687878066
1257,666749.7081111901
1540,724232.6473370121
2657,1320057.4563886693
566,317020.0790485244
1843,902691.0355113514
693,458888.84404660494
1264,676289.9548725749
2044,958335.6170561146
1532,756308.9650133287
961,536590.5735989555
1142,599449.8999185755
1839,933793.9558397455
1134,714126.1500795676
1608,765325.4107496083
1522,690309.851021046
1174,615185.8975824373
2571,1307385.466882716
1816,836216.2716015135
487,426755.8402722034
1593,871085.040703822
1169,589920.5879146003
1926,948849.1539592638
1103,672619.8311564269
1442,707843.6129506256
1752,840620.9819948819
1932,893715.9543025678
899,458862.1634653567
1332,650336.1227466996
1262,593602.9866618871
1173,620904.1734129613
2382,1064301.338447068
1702,842489.2955895374
869,419805.21768981864
1958,949744.0116107229
2561,1216076.4480804463
2016,856713.2178714272
740,464702.8284923786
1257,714183.4496236646
2133,942717.9490654398
1146,692028.6193418852
1721,859350.9504683022
1887,869549.4072120795
1036,561611.5461171147
1470,765916.3456260861
987,548600.2695706206
1373,726137.7996223185
876,454366.3203460317
2316,1084868.0412018038
784,392914.27515475097
1279,656038.696932565
1565,730804.6179267605
2220,1001223.5028705117
782,524604.6587605219
2081,1036965.5060297134
1505,782456.9060453589
1009,498984.36176637106
1731,826579.5775152599
1599,850254.8849989591
1199,636685.8456819953
1534,879566.4769990847
1307,692465.8919697186
1556,782002.4558245016
1831,866944.1767898749
2293,1073877.0452391142
881,494776.5081809728
2566,1211805.4338344296
523,407035.1158397292
1424,680300.5269746025
1794,801038.3523221111
1640,714189.7313448351
1188,650599.5663456272
1395,652831.6696913063
1253,543555.4703523759
1205,651428.9302265482
1924,1044249.9758716396
1678,820896.4544230053
1153,653124.538722582
1949,933691.4679273783
1653,806255.5173404429
1906,958353.8241493885
1814,861086.2727905675
1085,597369.6157035951
1219,653684.8903098006
1873,865795.4773178475
1805,921602.1174768262
1489,736852.0121652295
1558,735412.7420253578
2138,1032025.4921785202
1204,586676.6009104481
1773,860609.0578684565
1398,708744.0501677898
1391,760694.7782915789
2049,993334.9116439976
1912,913548.6520627429
1906,953288.3149600143
2152,1080310.3774508657
1510,781890.5153175931
1840,886517.630992169
1344,622008.188382492
1662,761544.3168462313
1434,708338.7647822666
1548,738724.3898920359
1797,859451.4348507277
1090,588832.4962448553
2546,1194884.6377178365
996,544875.0610970454
892,531125.0821913101
2079,984823.720740506
1895,809226.6716823064
1812,827833.2303090623
1814,868395.6222139192
1493,686715.2628579446
1051,600396.4364998102
1537,841337.5416171849
1161,675338.0925848659
1987,934127.8564534896
1426,794936.3068424975
1087,592233.3728601056
1339,668745.701444098
1706,801729.866822953
1218,622076.5156755936
1088,565791.1590729386
1621,806920.8111187743
1622,806828.6990524932
1246,648552.3010076707
1264,677446.9084873175
1616,855932.3137393171
775,507477.7067720662
796,394155.1015775048
1140,478303.94325490226
1393,753915.9955619636
1655,743656.065079229
2237,1033561.7299053658
1928,862694.3486970321
1420,627900.9781209991
1490,773073.1364102394
998,587157.7580151324
1490,717174.4799636641
1355,562447.8853927545
1661,787087.7775873758
1086,603990.2002701273
1759,779654.4215612935
2266,1065567.9959889578
1445,727234.5075413502
1700,858964.5749800544
1845,893979.0184207077
1299,620946.5529559222
1612,854628.5750832246
1506,744473.5213486515
1548,767834.7730245034
1113,548536.6020463402
1512,732635.8874404245
1748,804959.864298655
2225,1031352.6970038288
1979,1027185.4240071172
2576,1111804.9428534321
1116,515721.9301061629
1936,997958.5163746804
1591,775933.8161424067
2594,1154146.3630670041
1095,639995.2343698038
1080,551719.2230131568
1200,721300.4856773468
438,359096.29356696346
1237,620404.4295927149
1120,705865.4106632752
1575,749714.253849833
1670,855104.7686004654
2438,1140164.6290203247
1975,1005087.0644699399
1211,712475.5598363427
1050,571600.2074532884
1745,810329.1064826908
839,508598.6071469558
2415,1082114.2315123947
2089,1086269.3623763311
1265,662826.7665541369
643,388933.92243439454
2176,1029634.0152932454
1442,659443.6855235152
2118,948619.2980744675
702,490820.69539722125
1200,597155.2860514303
1502,698454.450865903
1523,786032.6376263644
1274,718885.2077331499
1811,910347.6655332533
966,586202.3842902908
1428,683360.2455715269
1560,702909.4666629079
1757,927866.6825977743
1855,875866.0080578933
937,512258.3491772476
732,509209.7070924529
2138,1033011.500470033
1666,839194.3886040804
1125,708250.1172450542
2275,1027824.0884809928
1557,819192.0064040618
2089,988450.6562448542
1533,776629.6139431628
2530,1238423.4213206265
2377,1126191.7878144812
1375,726914.8039524816
1985,997625.3668654901
1822,860552.3635228557
2184,981639.5166330497
1017,504559.5402989483
1843,788882.1705311999
2029,1064410.356497016
620,342839.58171391586
908,502137.3188207114
480,328159.33500555396
1365,711370.334890455
1858,933986.8606269648
2251,1093423.6744179872
1537,735646.1280715531
2314,1067243.9143106795
809,487728.99752441497
648,396765.44369082263
1472,819167.2788009996
1692,851348.7475819126
1483,779943.8893024909
466,369544.0634333706
1455,790673.6928742663
847,497851.07793518534
1834,818758.4026022076
1683,843184.3975876321
1030,529432.1553104086
1243,620769.1659125121
970,567318.2009377547
1468,799114.1535716818
1977,941863.5788368031
1007,568241.6506299482
1752,935910.7472317619
1234,655637.6589744284
1103,721284.1557090197
1446,756675.4822815772
982,454761.86204220913
1223,676867.0810552266
901,529457.9192441389
2482,1207287.6377041372
1517,790459.0675634979
1150,603077.2008008113
1606,731185.0881855317
1443,716748.8371356988
1389,663073.977289535
1807,843773.8275097639
1878,930628.9202210305
1234,727095.2252175703
1212,654533.576491149
1362,635005.8468982407
349,311830.13341100706
742,506631.57433228253
2183,992710.8547840309
2322,1072099.1416663541
1375,700734.4097364598
1788,825955.084345888
1655,844414.021692193
3039,1359552.592569611
2059,994576.6221953514
1436,680025.391109895
1022,536927.0849838295
696,464519.06789138855
1601,771758.3423954117
1121,684748.1925616702
788,445218.19071926986
1176,631634.2362875943
959,580229.5415936545
2343,1016281.7133533484
1940,837959.5594009613
1496,672117.1842714953
2239,1108729.205171359
1538,737607.0927053776
1069,705509.9642834126
2261,1026187.6200671305
1769,866827.5651598518
981,619505.4976283938
1404,811904.6444079562
1062,677875.1788318199
808,533618.3115296571
1963,986403.1262905732
2454,1161226.3474600592
800,508918.0538083319
1781,834840.7141835734
1174,578690.0558288846
1256,652231.2771294524
1203,622690.7688737536
1068,554538.5975336363
1524,794419.3723728358
1084,631365.2604285255
1635,808420.3443145924
1474,813476.5040527631
1380,644915.5442933247
1046,558717.0270360141
1211,598558.8839698598
1877,807473.169146347
1750,845865.9657078651
1011,548312.6245808358
1549,845272.4871621066
1875,931540.5842277389
665,364790.6587835398
1771,951104.6283167094
1168,678251.6847762676
1785,893104.8851734308
1118,585875.7950575084
597,340828.03816382604
686,405789.6611964473
1524,814037.4309852093
1629,895829.3152967305
1047,645962.1764136094
1819,853157.5289106863
669,361619.12833554944
1466,743444.3123455602
894,419178.03172185743
1174,635758.385709239
1523,751819.8706850666
1069,554298.1749065879
1307,593064.8466366602
2003,976880.0053284859
1211,607764.9580169044
1917,858304.1582144856
935,380386.88933591754
1764,854224.2547474682
2220,1126612.5798334873
1101,673462.9607273935
1788,842345.1871706864
1398,679089.3969819109
1685,847438.7128037512
1198,579280.7280405854
1543,782289.5949909732
1422,757104.0139192345
2083,1044546.6611942154
1627,795792.2961760024
1668,807016.3124911517
1294,623700.870662172
1256,611055.982298007
1283,651876.0554049236
1697,847168.2753408089
1289,711279.2313116625
1644,767441.0524659827
2537,1239434.428447976
1935,910443.8199478716
1336,683331.6352825782
2100,952639.4160426088
1295,546787.986986353
480,386202.2698180525
995,584842.1948546217
564,361533.6221440893
1324,682949.5358612436
1509,779396.960885205
2338,1007072.7071556728
1663,788747.3661326852
1390,745713.2339810913
1914,852885.5288415375
394,322277.8966083315
1617,728970.9097688297
1885,927321.4991216763
760,452217.9258851258
2071,897643.4092047245
1669,875836.9677228585
1292,630070.4211600976
1816,835887.378149281
2635,1214028.4598615472
1590,843431.8674714358
1624,748808.9090510801
1270,661083.9924923986
1075,601440.8250165286
1915,950655.2803631572
1071,587222.0777638613
1535,745648.6080458339
1261,613020.488967564
1739,849907.1941523188
1666,762793.0494007197
2018,811132.4758252696
1244,669427.9902078834
1365,741196.7420543098
1010,435853.37822290807
1277,610313.4647645031
1688,856157.7130502599
1878,1004074.7734855849
1038,566239.6853837704
1934,887199.8529385433
2177,1011655.177944758
1706,901143.8209574092
2438,1092901.7910437733
1113,555240.3996674874
877,476662.8238908984
610,346333.5695870644
2248,1055333.5157997399
1827,962033.9229234781
1472,754953.9636558015
1639,792982.3248936856
937,510209.4365542228
2722,1160640.459565167
1564,819755.488857358
1554,767708.1401493599
1862,885776.0043204688
1740,1005655.3783922431
1611,809337.6454182843
1104,554010.4474952408
1735,822682.1201897229
2441,1183822.2854598376
2172,1024463.5205268882
2296,996486.1010841316
1244,693561.4467287601
1005,518592.7957230503
1437,818464.8888108772
1527,814802.4032857324
2047,946433.9052170624
653,475250.81808675564
2264,1058992.7755263702
1420,760638.683756111
1286,688636.6408647237
993,504882.16725045635
672,386622.5083841269
1911,965898.0408790581
1536,747661.233394673
855,471817.57683790015
852,443043.87103253236
1332,703979.953279673
2334,1186726.2459621571
1370,644623.3542872864
748,450410.9728336379
1377,771411.0277707714
1363,691217.9304377142
1472,761418.5898124867
1384,650480.3235926561
1848,910615.3548603824
2424,1110242.7867497725
2063,1024486.4997839931
1365,755369.3025782376
946,657878.1821009307
2786,1293381.658660679
1529,777889.8158291084
1506,762119.2150788668
1487,727141.6853594655
1599,806524.1921730846
1427,706029.9294930486
1213,643623.0488134808
1226,706279.876780398
1483,692872.871736018
1228,698193.9280564523
1143,673055.7533669933
1553,765296.573650446
1372,592707.2550495702
2251,1020008.9006452784
2045,1032849.7273280554
2123,998056.5968850559
463,285234.8883852545
1328,655961.2539385891
1314,717631.0013252277
796,495736.67841006897
1111,582453.3950415152
944,509258.7794092656
2376,1080812.092547809
1967,890679.4907750749
2135,1084768.784473472
1860,877883.976539433
935,584857.9260412748
1237,720865.8025961226
1744,897515.544907398
888,483618.9843640976
1856,912586.5045168304
1379,700390.2196804542
1312,629614.9069634936
1855,908217.9640860802
1722,779848.0104420099
1319,736983.9694230782
2079,958369.1351350803
959,543657.982793642
1807,886964.3935773071
1796,855454.7513147962
1345,717334.6900737637
1663,791454.8171688737
874,543164.8648728622
1962,867501.0159876626
1407,719118.9789773206
1238,742146.4499529143
2024,909583.4337697213
1147,574912.7514737574
795,493695.39248294575
721,447379.0890969799
1803,888731.504963678
859,518059.35650738317
2377,1132536.0734280886
459,389084.9920978112
2348,1109690.9328464256
1605,779937.1172690729
1451,764028.6850601366
1227,735794.0967447608
1699,822968.3126808713
1481,693673.534766468
2051,1025754.0334643486
1557,766780.9418023201
1575,671366.5226992982
1318,719571.0838575211
1471,711633.5907023039
1653,806673.3358847919
644,424199.01652845077
825,489524.98398895335
1871,933872.590856952
1585,762225.6814715079
1408,738855.2899088041
1509,740622.6661208041
1673,856140.5240443752
1230,672768.3742006527
1110,547228.0648977703
1597,843099.1058087517
1010,527201.8277442976
1704,872002.8899140572
648,427564.365670067
2014,1047509.1838397561
1736,833226.7008814074
1628,783734.1601940901
1991,945429.0197056134
2332,1067641.0108582862
2007,992797.0950971025
579,300784.4695781706
860,441315.8790426823
1187,571409.8539210403
1513,802715.3795986788
1758,938730.6686290962
1137,599577.5390731264
1593,778758.9138404995
1122,602302.608155659
1194,685693.9151304095
796,422032.3432904713
1038,577118.4491367392
824,528359.8814891215
1012,579854.7084969922
2026,969879.0808299371
1025,610052.3046283571
2816,1141238.385350038
1746,882293.7659765454
1592,754096.2158436289
1070,486468.35515717714
1850,915560.1299762491
1212,703482.9272581479
1561,767527.5742686155
2780,1309643.7273601468
1451,811013.9128994322
2074,1045345.7226792023
1148,691198.2264685696
1482,779906.3745535946
2385,1107771.6819450797
1186,544301.7094051415
2406,1100096.8755935025
1853,849037.6702341904
1218,745747.1358748907
1816,867605.7093783831
1986,950560.2403392243
1810,901574.2688020234
714,437780.1223186227
1136,689152.5520215377
1376,669267.5319132775
1462,744530.3727618621
1810,836876.4707150976
1588,719198.8744389648
832,452211.54545473575
1690,824148.1601475794
1805,850534.888774137
1779,826978.9510063072
2040,895684.1268164082
1916,912244.7213685652
1729,766363.9812984499
1464,773602.7981844802
669,421721.98764672515
1714,762722.4250267535
1603,775739.5461475068
1635,766392.1797204708
861,510358.725520959
959,600622.5223011572
2026,866641.3765177127
1480,747751.3039573708
1840,877993.360221668
1514,789167.0038225233
1514,766259.8314118844
1969,900001.5334130591
1241,630447.3032166691
1548,729398.7071598256
1268,711000.3569299299
1282,663865.5824335971
1345,783059.5342876504
1611,791366.959309269
1260,618579.6616544769
2127,925114.2803693586
1052,480643.01618720277
1406,633193.2028497255
1280,675356.3325505742
2223,1064636.2511614966
1598,710140.4648983934
2015,1000751.9157038057
757,428646.947415828
1633,810539.6505992775
1944,1008211.0314127712
1541,811241.9657932766
2032,949373.4676047084
1241,601840.3887292356
2204,924009.2299335347
2649,1173642.334037879
1318,666643.4880586152
1277,611441.0236424408
2226,1033837.1516453847
2289,1069442.5941479383
1238,633957.200909596
1289,633099.870958827
1359,702032.7335983363
827,502897.0324784705
1040,511480.0461278577
997,619346.6189873135
1116,591470.5933857869
1482,743742.4811472424
1617,832210.7211628279
2275,1071660.806563175
1000,597656.8316956622
1992,961156.2082600913
1393,676578.1312679781
1475,758075.1762603051
1837,827613.6896339669
938,530627.9852888262
1691,824738.5004677769
1583,772794.157136373
1746,841973.1244280535
1644,713507.547725118
2727,1213363.754612952
1181,627042.2450570557
1234,651592.81959987
1188,573816.2429537021
1222,702085.392043235
1181,579091.257589275
2094,1036072.8600263369
2210,1055359.7180935843
1214,603288.6345078099
1083,671965.5446304756
1735,784318.158412176
1223,685157.7086805
1816,926429.1159021489
1601,756868.9895461678
742,516423.26500321645
2273,1046697.6742700523
2397,1123234.681463993
1193,640216.0919385611
1306,665684.5629264726
1642,847340.4136579891
1667,856474.4360276107
1829,794173.401338091
2505,1217217.0121439076
1411,631275.4005982163
1100,641627.3102170828
810,530335.2568413792
1134,549051.6784892401
1483,722659.2856022707
2397,1053514.7665757032
1241,635653.9484855633
1611,778998.2857907129
1491,785383.026613467
2094,1053115.4373059804
2763,1324984.1905394979
1234,615491.5986710849
1255,641538.9063127736
2022,874628.0903889525
1840,845706.4966751905
2423,1167442.581654873
1791,947179.1411774115
1320,616282.5564060039
1795,838376.7870423553
2054,970279.7121520536
1910,928008.0579409803
1753,810719.8240039177
2033,984403.0522232045
2084,959908.0326464542
2191,1025677.3864560861
1824,906914.212400185
1416,716721.1134905469
1573,757380.7054736716
2103,985719.5098037084
1091,581981.8520397332
1684,805099.4485058936
1303,658260.1968666449
1514,835532.3585252359
2139,1033645.9723970619
1595,773225.984098542
1523,794047.7202255367
820,461309.0255121995
1873,957856.2318793321
1822,897282.1096099047
2581,1177034.8927997886
1346,710785.8462905139
1609,715056.192396575
1624,743261.6265545097
2288,1005503.7496800473
1452,737947.1547381853
1639,892225.7499742546
1803,982765.0073096317
1593,819102.5550720379
1276,685442.2237472228
1597,698747.113292363
2036,937266.3100132989
986,505010.81240458804
1566,745357.6200874442
1149,601192.8090707605
2097,965195.4711151436
738,346235.0094812106
1220,675395.5128058767
1688,771562.8487130096
2282,1074762.3432055574
1467,840504.1334874986
1222,592830.7704206789
2440,999485.6238626835
775,445699.78890599444
400,365047.98174992856
1720,935917.3727110297
1248,587722.5202773792
989,570434.961161826
1854,868334.4771609973
1621,793102.5822847933
1217,769017.1673508517
859,418451.4835802423
1936,937086.9830747286
1825,903384.6585882717
1450,784289.3162469673
2423,1124099.1576735447
964,551002.526975205
737,425217.5716289105
1154,625056.3470622554
1477,723640.3862251295
1621,829478.5944928025
1379,683119.4831978183
1676,839255.0196951093
874,498136.85931575106
2221,1094702.5125386084
1458,730630.3138205757
2058,884548.3765896559
1671,881496.0750356996
1728,795913.3849568691
1784,830911.683067559
1723,809416.9352978254
1821,947121.9046585409
2164,908816.2893010653
1598,946087.4266829997
1854,944402.8404533026
1455,743161.945706458
2220,1035255.2999691857
1161,628677.7037428828
2400,1136056.121418967
1479,773860.7792975028
784,491380.2233001724
1564,780079.0340627624
1159,603733.0789846337
1920,910436.3358173245
1173,609454.585982366
1276,717088.5048433532
555,401677.8361140431
1273,512180.568266786
708,465995.0388264881
1880,911736.8097359388
1892,905864.5621777051
1712,815374.0773455558
1016,612605.6359993006
1476,787776.3231061429
1498,710556.1166088196
920,538352.6143562268
2251,1001817.1632729357
1938,856219.0917605535
1389,674264.1387705017
1513,798319.673619138
1604,839256.2522688044
479,367254.27100486465
1376,736654.7893423998
1159,639408.9143557479
999,517525.9202388524
1359,715196.127233697
2398,1149220.476261384
1820,915714.5664906787
1214,695045.6685737321
1786,899815.1923600532
